GeneId	BiologicalProcess	CellularComponent	MolecularFunction
Ss03g29730.1	-	GO:0016020(membrane),GO:0016021(integral component of membrane)	-
Ss01g17670.1	GO:0006499(N-terminal protein myristoylation)	-	GO:0004379(glycylpeptide N-tetradecanoyltransferase activity)
Ss06g01860.1	GO:0006508(proteolysis)	-	GO:0004252(serine-type endopeptidase activity)
Ss01g17660.1	GO:0015693(magnesium ion transport)	GO:0016021(integral component of membrane)	GO:0015095(magnesium ion transmembrane transporter activity)
Ss05g22830.1	-	-	GO:0016787(hydrolase activity)
Ss03g09740.1	-	-	GO:0005515(protein binding)
Ss06g01890.1	-	-	GO:0046983(protein dimerization activity)
Ss03g09720.1	GO:0006431(methionyl-tRNA aminoacylation),GO:0006418(tRNA aminoacylation for protein translation)	-	GO:0000166(nucleotide binding),GO:0004825(methionine-tRNA ligase activity),GO:0005524(ATP binding),GO:0000049(tRNA binding),GO:0004812(aminoacyl-tRNA ligase activity)
Ss01g17610.1	GO:0055085(transmembrane transport)	GO:0005743(mitochondrial inner membrane)	GO:0022857(transmembrane transporter activity)
Ss03g09700.1	GO:0007275(multicellular organism development)	-	-
Ss05g22840.1	GO:0055085(transmembrane transport)	-	-
Ss03g09680.1	-	-	GO:0046872(metal ion binding)
Ss01g17600.1	-	-	GO:0003677(DNA binding)
Ss01g10700.1	-	-	GO:0046983(protein dimerization activity)
Ss02g31020.1	GO:0009733(response to auxin)	-	-
Ss02g31010.1	GO:0009072(aromatic amino acid family metabolic process),GO:0055114(oxidation-reduction process)	-	GO:0003868(4-hydroxyphenylpyruvate dioxygenase activity),GO:0016701(oxidoreductase activity, acting on single donors with incorporation of molecular oxygen)
Ss02g31000.1	-	-	GO:0003677(DNA binding)
Ss02g30980.1	-	-	GO:0003677(DNA binding)
Ss03g19560.1	GO:0042256(mature ribosome assembly)	-	GO:0043022(ribosome binding)
Ss07g30220.1	GO:0055114(oxidation-reduction process)	-	GO:0008270(zinc ion binding),GO:0016491(oxidoreductase activity)
Ss06g23050.1	-	-	GO:0008270(zinc ion binding)
Ss10g08610.1	GO:0055114(oxidation-reduction process)	-	GO:0008137(NADH dehydrogenase (ubiquinone) activity)
Ss10g03200.1	-	-	GO:0046983(protein dimerization activity)
Ss04g09100.1	GO:0006468(protein phosphorylation)	-	GO:0004672(protein kinase activity),GO:0005524(ATP binding)
Ss08g10630.1	-	-	GO:0043565(sequence-specific DNA binding),GO:0003677(DNA binding)
Ss03g17330.1	GO:0015914(phospholipid transport)	GO:0016021(integral component of membrane)	GO:0000166(nucleotide binding),GO:0000287(magnesium ion binding),GO:0004012(phospholipid-translocating ATPase activity),GO:0005524(ATP binding)
Ss03g17850.1	GO:0006075((1->3)-beta-D-glucan biosynthetic process)	GO:0000148(1,3-beta-D-glucan synthase complex),GO:0016020(membrane)	GO:0003843(1,3-beta-D-glucan synthase activity)
Ss03g31140.1	GO:0006629(lipid metabolic process)	-	GO:0008374(O-acyltransferase activity)
Ss03g31090.1	GO:0006355(regulation of transcription, DNA-templated)	GO:0005634(nucleus)	GO:0005524(ATP binding)
Ss03g31110.1	GO:0006364(rRNA processing)	-	GO:0008168(methyltransferase activity)
Ss03g31070.1	GO:0055114(oxidation-reduction process)	-	-
Ss03g31080.1	GO:0055114(oxidation-reduction process)	-	-
Ss05g22710.1	-	GO:0016020(membrane)	GO:0005524(ATP binding),GO:0016887(ATPase activity)
Ss05g22740.1	GO:0055085(transmembrane transport)	-	-
Ss10g03300.1	GO:0006468(protein phosphorylation)	-	GO:0004672(protein kinase activity),GO:0005509(calcium ion binding),GO:0005524(ATP binding),GO:0030247(polysaccharide binding)
Ss10g00710.1	-	-	GO:0043531(ADP binding)
Ss05g22700.1	-	-	GO:0003779(actin binding)
Ss10g03250.1	GO:0055114(oxidation-reduction process)	-	GO:0016491(oxidoreductase activity)
Ss04g09150.1	-	-	GO:0005515(protein binding)
Ss10g00740.1	-	-	GO:0043531(ADP binding)
Ss05g22760.1	GO:0005975(carbohydrate metabolic process)	-	GO:0004563(beta-N-acetylhexosaminidase activity),GO:0004553(hydrolase activity, hydrolyzing O-glycosyl compounds)
Ss05g22750.1	GO:0006470(protein dephosphorylation),GO:0016311(dephosphorylation)	-	GO:0008138(protein tyrosine/serine/threonine phosphatase activity),GO:0004725(protein tyrosine phosphatase activity),GO:0016791(phosphatase activity)
Ss10g03270.1	GO:0055114(oxidation-reduction process)	-	GO:0016491(oxidoreductase activity)
Ss10g03260.1	GO:0055114(oxidation-reduction process)	-	GO:0016491(oxidoreductase activity)
Ss10g10460.1	-	-	GO:0004373(glycogen (starch) synthase activity)
Ss10g10410.1	-	-	GO:0003676(nucleic acid binding),GO:0005524(ATP binding)
Ss10g10400.1	-	GO:0016020(membrane)	GO:0008375(acetylglucosaminyltransferase activity)
Ss10g10430.1	GO:0006564(L-serine biosynthetic process)	-	GO:0004648(O-phospho-L-serine:2-oxoglutarate aminotransferase activity),GO:0003824(catalytic activity)
Ss10g10420.1	GO:0055085(transmembrane transport)	GO:0016020(membrane)	GO:0022857(transmembrane transporter activity)
Ss03g14260.1	GO:0006468(protein phosphorylation)	-	GO:0005524(ATP binding),GO:0004672(protein kinase activity)
Ss06g14930.1	GO:0055114(oxidation-reduction process),GO:0006979(response to oxidative stress),GO:0042744(hydrogen peroxide catabolic process)	-	GO:0004601(peroxidase activity),GO:0020037(heme binding)
Ss07g33790.1	GO:0006355(regulation of transcription, DNA-templated)	-	GO:0003700(DNA-binding transcription factor activity),GO:0003677(DNA binding)
Ss07g24620.1	GO:0000154(rRNA modification),GO:0006364(rRNA processing)	-	GO:0000179(rRNA (adenine-N6,N6-)-dimethyltransferase activity),GO:0008649(rRNA methyltransferase activity)
Ss06g14920.1	GO:0006412(translation)	GO:0015934(large ribosomal subunit)	GO:0003723(RNA binding),GO:0003735(structural constituent of ribosome)
Ss10g08580.1	GO:0051603(proteolysis involved in cellular protein catabolic process)	GO:0005839(proteasome core complex)	GO:0004298(threonine-type endopeptidase activity)
Ss02g10590.1	GO:0006468(protein phosphorylation)	-	GO:0004672(protein kinase activity),GO:0005524(ATP binding)
Ss04g17580.1	GO:0006355(regulation of transcription, DNA-templated)	GO:0005634(nucleus)	GO:0003700(DNA-binding transcription factor activity),GO:0043565(sequence-specific DNA binding)
Ss05g17460.1	-	-	GO:0046983(protein dimerization activity)
Ss04g17560.1	-	-	GO:0005515(protein binding)
Ss06g14900.1	GO:0006468(protein phosphorylation)	-	GO:0005515(protein binding),GO:0004672(protein kinase activity),GO:0005524(ATP binding)
Ss04g17540.1	-	-	GO:0004842(ubiquitin-protein transferase activity)
Ss04g17050.1	GO:0055114(oxidation-reduction process)	-	GO:0016705(oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen),GO:0005506(iron ion binding),GO:0020037(heme binding)
Ss04g17520.1	-	GO:0005789(endoplasmic reticulum membrane),GO:0016021(integral component of membrane)	-
Ss04g17510.1	-	-	GO:0005515(protein binding)
Ss05g17380.1	-	-	GO:0004462(lactoylglutathione lyase activity),GO:0046872(metal ion binding)
Ss04g17090.1	GO:0055114(oxidation-reduction process)	-	GO:0003677(DNA binding),GO:0005515(protein binding),GO:0016491(oxidoreductase activity)
Ss05g17400.1	-	-	GO:0005515(protein binding)
Ss05g17410.1	GO:0006508(proteolysis)	-	GO:0008234(cysteine-type peptidase activity)
Ss05g17420.1	-	-	GO:0003677(DNA binding)
Ss06g09740.1	-	-	GO:0005515(protein binding)
Ss03g27890.1	GO:0055114(oxidation-reduction process)	-	GO:0016651(oxidoreductase activity, acting on NAD(P)H),GO:0048038(quinone binding),GO:0051287(NAD binding)
Ss11g06600.1	GO:0051726(regulation of cell cycle)	GO:0005634(nucleus)	-
Ss01g29490.1	GO:0006412(translation)	GO:0005840(ribosome)	GO:0003735(structural constituent of ribosome)
Ss03g03630.1	GO:0006355(regulation of transcription, DNA-templated)	-	GO:0003677(DNA binding)
Ss01g25150.1	-	-	GO:0005509(calcium ion binding)
Ss06g09780.1	-	-	GO:0046983(protein dimerization activity)
Ss03g03560.1	GO:0019856(pyrimidine nucleobase biosynthetic process)	-	GO:0004151(dihydroorotase activity),GO:0016812(hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amides),GO:0016787(hydrolase activity)
Ss01g25110.1	GO:0005975(carbohydrate metabolic process)	-	GO:0030246(carbohydrate binding),GO:0004553(hydrolase activity, hydrolyzing O-glycosyl compounds)
Ss01g25100.1	GO:0015991(ATP hydrolysis coupled proton transport)	GO:0033180(proton-transporting V-type ATPase, V1 domain)	GO:0015078(proton transmembrane transporter activity)
Ss01g25090.1	GO:0055114(oxidation-reduction process)	-	GO:0016491(oxidoreductase activity)
Ss03g03590.1	-	-	GO:0005515(protein binding)
Ss01g25070.1	GO:0016117(carotenoid biosynthetic process)	-	GO:0016705(oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen)
Ss02g14760.1	GO:0006468(protein phosphorylation)	-	GO:0005515(protein binding),GO:0004672(protein kinase activity),GO:0005524(ATP binding)
Ss02g14770.1	-	-	GO:0005515(protein binding)
Ss04g08440.1	GO:0006468(protein phosphorylation)	-	GO:0005524(ATP binding),GO:0004672(protein kinase activity)
Ss02g14730.1	GO:0006468(protein phosphorylation)	-	GO:0004672(protein kinase activity),GO:0005515(protein binding),GO:0005524(ATP binding)
Ss01g25670.1	GO:0006508(proteolysis)	-	GO:0008233(peptidase activity)
Ss01g25680.1	-	-	GO:0005515(protein binding)
Ss02g01640.1	-	-	GO:0003677(DNA binding)
Ss01g25730.1	GO:0006508(proteolysis)	-	GO:0003824(catalytic activity),GO:0046872(metal ion binding),GO:0004222(metalloendopeptidase activity)
Ss03g19130.1	GO:0055114(oxidation-reduction process)	-	GO:0033743(peptide-methionine (R)-S-oxide reductase activity)
Ss04g10960.1	-	-	GO:0005515(protein binding)
Ss03g19710.1	GO:0055114(oxidation-reduction process)	-	GO:0005506(iron ion binding),GO:0016705(oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen),GO:0020037(heme binding)
Ss04g10970.1	-	-	GO:0005515(protein binding),GO:0008270(zinc ion binding)
Ss07g23750.1	GO:0006165(nucleoside diphosphate phosphorylation),GO:0006183(GTP biosynthetic process),GO:0006228(UTP biosynthetic process),GO:0006241(CTP biosynthetic process)	-	GO:0004550(nucleoside diphosphate kinase activity)
Ss04g10910.1	GO:0006468(protein phosphorylation)	-	GO:0004672(protein kinase activity),GO:0005524(ATP binding)
Ss03g19750.1	GO:0055114(oxidation-reduction process)	-	GO:0005506(iron ion binding),GO:0016705(oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen),GO:0020037(heme binding)
Ss04g10930.1	-	-	GO:0005515(protein binding)
Ss03g19760.1	GO:0055114(oxidation-reduction process)	-	GO:0005506(iron ion binding),GO:0016705(oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen),GO:0020037(heme binding)
Ss04g11000.1	-	-	GO:0005515(protein binding)
Ss03g07620.1	-	-	GO:0005515(protein binding)
Ss07g10010.1	GO:0009098(leucine biosynthetic process),GO:0019752(carboxylic acid metabolic process)	-	GO:0003852(2-isopropylmalate synthase activity),GO:0003824(catalytic activity),GO:0046912(transferase activity, transferring acyl groups, acyl groups converted into alkyl on transfer)
Ss03g28130.1	-	-	GO:0003677(DNA binding)
Ss04g05280.1	GO:0006468(protein phosphorylation)	-	GO:0005524(ATP binding),GO:0004672(protein kinase activity)
Ss02g08090.1	GO:0006355(regulation of transcription, DNA-templated)	-	GO:0003677(DNA binding)
Ss09g05690.1	-	-	GO:0005515(protein binding)
Ss02g08050.1	-	-	GO:0046983(protein dimerization activity)
Ss02g08030.1	-	-	GO:0046983(protein dimerization activity)
Ss09g05650.1	GO:0071805(potassium ion transmembrane transport)	GO:0016020(membrane)	GO:0015079(potassium ion transmembrane transporter activity)
Ss09g05660.1	GO:0016567(protein ubiquitination)	-	GO:0005515(protein binding),GO:0004842(ubiquitin-protein transferase activity)
Ss09g05670.1	GO:0006886(intracellular protein transport)	-	-
Ss03g07650.1	-	-	GO:0005515(protein binding)
Ss07g00730.1	-	-	GO:0005515(protein binding)
Ss07g05920.1	-	-	GO:0003924(GTPase activity),GO:0005525(GTP binding)
Ss01g21540.1	GO:0006468(protein phosphorylation)	-	GO:0004707(MAP kinase activity),GO:0005524(ATP binding),GO:0004672(protein kinase activity)
Ss03g07580.1	GO:0006355(regulation of transcription, DNA-templated),GO:0045944(positive regulation of transcription by RNA polymerase II)	GO:0005634(nucleus)	GO:0003700(DNA-binding transcription factor activity),GO:0003677(DNA binding),GO:0046983(protein dimerization activity),GO:0000977(RNA polymerase II regulatory region sequence-specific DNA binding)
Ss03g30520.1	GO:0006468(protein phosphorylation)	-	GO:0005524(ATP binding),GO:0004713(protein tyrosine kinase activity),GO:0004672(protein kinase activity)
Ss07g30750.1	GO:0006108(malate metabolic process),GO:0055114(oxidation-reduction process),GO:0005975(carbohydrate metabolic process),GO:0006099(tricarboxylic acid cycle),GO:0019752(carboxylic acid metabolic process)	-	GO:0016615(malate dehydrogenase activity),GO:0003824(catalytic activity),GO:0016616(oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor),GO:0016491(oxidoreductase activity),GO:0030060(L-malate dehydrogenase activity)
Ss01g21480.1	-	-	GO:0046872(metal ion binding)
Ss01g21490.1	-	-	GO:0045735(nutrient reservoir activity)
Ss01g21460.1	GO:0055114(oxidation-reduction process)	-	GO:0004499(N,N-dimethylaniline monooxygenase activity),GO:0050660(flavin adenine dinucleotide binding),GO:0050661(NADP binding),GO:0016491(oxidoreductase activity)
Ss01g21470.1	-	GO:0016020(membrane)	-
Ss03g18820.1	-	-	GO:0005515(protein binding)
Ss01g14370.1	GO:0009231(riboflavin biosynthetic process)	-	GO:0008531(riboflavin kinase activity),GO:0016787(hydrolase activity)
Ss07g06490.1	GO:0000290(deadenylation-dependent decapping of nuclear-transcribed mRNA),GO:0043085(positive regulation of catalytic activity)	-	GO:0008047(enzyme activator activity)
Ss03g27320.1	-	-	GO:0003676(nucleic acid binding),GO:0008270(zinc ion binding)
Ss07g00740.1	GO:0055085(transmembrane transport)	GO:0016021(integral component of membrane),GO:0016020(membrane)	GO:0005215(transporter activity),GO:0022857(transmembrane transporter activity)
Ss02g01010.1	GO:0055114(oxidation-reduction process)	-	GO:0016491(oxidoreductase activity),GO:0050660(flavin adenine dinucleotide binding),GO:0071949(FAD binding),GO:0008289(lipid binding)
Ss03g18830.1	GO:0046488(phosphatidylinositol metabolic process)	-	GO:0005524(ATP binding),GO:0016308(1-phosphatidylinositol-4-phosphate 5-kinase activity),GO:0016307(phosphatidylinositol phosphate kinase activity)
Ss06g18410.1	-	-	GO:0005515(protein binding)
Ss11g02320.1	GO:0090481(pyrimidine nucleotide-sugar transmembrane transport)	GO:0000139(Golgi membrane),GO:0016021(integral component of membrane)	GO:0015165(pyrimidine nucleotide-sugar transmembrane transporter activity)
Ss06g18390.1	GO:0045454(cell redox homeostasis)	-	GO:0016491(oxidoreductase activity)
Ss06g18380.1	-	GO:0005634(nucleus)	-
Ss06g18430.1	-	GO:0005634(nucleus)	GO:0005515(protein binding)
Ss06g18420.1	GO:0071805(potassium ion transmembrane transport)	GO:0016020(membrane)	GO:0015079(potassium ion transmembrane transporter activity)
Ss11g02410.1	GO:0031047(gene silencing by RNA)	-	-
Ss11g02400.1	-	-	GO:0005525(GTP binding)
Ss06g18460.1	GO:0044030(regulation of DNA methylation)	GO:0005634(nucleus)	-
Ss07g00790.1	GO:0006457(protein folding)	-	GO:0005524(ATP binding),GO:0051082(unfolded protein binding)
Ss02g01020.1	GO:0006260(DNA replication),GO:0006281(DNA repair),GO:0006310(DNA recombination)	GO:0005634(nucleus)	GO:0003677(DNA binding)
Ss07g29310.1	GO:0010215(cellulose microfibril organization),GO:0016049(cell growth)	GO:0031225(anchored component of membrane)	-
Ss03g18240.1	-	-	GO:0008270(zinc ion binding)
Ss02g33360.1	-	GO:0016020(membrane)	GO:0005524(ATP binding),GO:0016887(ATPase activity)
Ss08g15720.1	GO:0009058(biosynthetic process)	-	GO:0003824(catalytic activity)
Ss08g15710.1	GO:0006457(protein folding)	-	GO:0051082(unfolded protein binding)
Ss07g29370.1	GO:0006355(regulation of transcription, DNA-templated),GO:0045944(positive regulation of transcription by RNA polymerase II)	GO:0005634(nucleus)	GO:0003700(DNA-binding transcription factor activity),GO:0003677(DNA binding),GO:0046983(protein dimerization activity),GO:0000977(RNA polymerase II regulatory region sequence-specific DNA binding)
Ss08g12950.1	GO:0006351(transcription, DNA-templated)	-	GO:0003677(DNA binding),GO:0003899(DNA-directed 5'-3' RNA polymerase activity)
Ss02g33310.1	GO:0042254(ribosome biogenesis)	GO:0005634(nucleus)	-
Ss02g33300.1	GO:0009611(response to wounding)	-	GO:0004867(serine-type endopeptidase inhibitor activity)
Ss08g15700.1	-	GO:0016021(integral component of membrane)	-
Ss02g33280.1	GO:0055114(oxidation-reduction process)	GO:0016020(membrane)	GO:0003824(catalytic activity),GO:0050660(flavin adenine dinucleotide binding),GO:0003885(D-arabinono-1,4-lactone oxidase activity),GO:0071949(FAD binding),GO:0016491(oxidoreductase activity)
Ss02g33350.1	-	-	GO:0005524(ATP binding),GO:0016887(ATPase activity)
Ss02g33340.1	GO:0055114(oxidation-reduction process)	-	GO:0016491(oxidoreductase activity)
Ss02g33330.1	GO:0008654(phospholipid biosynthetic process)	GO:0016020(membrane)	GO:0016780(phosphotransferase activity, for other substituted phosphate groups)
Ss08g15650.1	-	-	GO:0005515(protein binding),GO:0005506(iron ion binding)
Ss07g14770.1	GO:0009443(pyridoxal 5'-phosphate salvage)	-	GO:0008478(pyridoxal kinase activity)
Ss09g02400.1	GO:0009793(embryo development ending in seed dormancy)	-	-
Ss07g14740.1	-	-	GO:0005515(protein binding)
Ss02g01050.1	GO:0006468(protein phosphorylation)	-	GO:0005524(ATP binding),GO:0004672(protein kinase activity),GO:0005515(protein binding)
Ss03g18280.1	GO:0006468(protein phosphorylation)	-	GO:0004672(protein kinase activity),GO:0005524(ATP binding)
Ss07g14790.1	GO:0006397(mRNA processing)	-	-
Ss04g17690.1	-	-	GO:0008168(methyltransferase activity)
Ss01g41280.1	GO:0031047(gene silencing by RNA)	-	-
